Primary-general indicator,Candidate ID,Chamber Endorsed?,Main Street Endorsed?,Tea Party Endorsed?,House Freedom Support?,Koch Support?,Club for Growth Endorsed?,Susan B. Anthony Endorsed?,Right to Life Endorsed?,NRA Endorsed?,Great America Endorsed?,Bannon Endorsed?,Trump Endorsed?,Rep Party Support?,No Labels Support?,VoteVets Endorsed?,WFP Endorsed?,Indivisible Endorsed?,PCCC Endorsed?,Justice Dems Endorsed?,Our Revolution Endorsed?,Sanders Endorsed?,Warren Endorsed? ,Biden Endorsed?,Guns Sense Candidate?,Emily Endorsed?,Party Support?,Obama Alum?,STEM?,Self-Funder?,Elected Official?,LGBTQ?,Veteran?,Race,Won Primary,Primary %,Partisan Lean,General Status,Primary Runoff Status,Primary Status,Race Primary Election Date,Race Type,Office Type,District,State,Avg Donation Size
P2018,H8GA07144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,White,0,11.02,-12.73,None,None,Lost,5/22/18,Regular,Representative,U.S. House Georgia District 7,GA,1000.0
P2018,H8CA52136,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57,0.0,None,None,Lost,6/5/18,Regular,Representative,U.S. House California District 52,CA,2000.0
P2018,H8TX32098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,Nonwhite,1,38.43,-4.98,On the Ballot,Advanced,Advanced,3/6/18,Regular,Representative,U.S. House Texas District 32,TX,1657.3333333333333
P2018,H8NY23225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15.33,-13.93,None,None,Lost,6/26/18,Regular,Representative,U.S. House New York District 23,NY,1000.0
P2018,H8ND00096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56.22,0.0,On the Ballot,None,Advanced,6/12/18,Regular,Representative,U.S. House North Dakota At-large District,ND,2920.3125
P2018,S8AZ00247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9,0.0,None,None,Lost,8/28/18,Regular,Senator,U.S. Senate Arizona,AZ,104549.71428571429
P2018,H4NE02054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,48.360001,-5.98,None,None,Lost,5/15/18,Regular,Representative,U.S. House Nebraska District 2,NE,1563.4835164835165
P2018,H8IA03124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,White,1,57.799999,-4.1100001000000015,On the Ballot,None,Advanced,6/5/18,Regular,Representative,U.S. House Iowa District 3,IA,16007.052631578947
P2018,H8OH12222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,0.0,None,None,Lost,5/8/18,Regular,Representative,U.S. House Ohio District 12,OH,6636.0526315789475
P2018,H8OH12180,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.72,0.0,On the Ballot,None,Advanced,5/8/18,Regular,Representative,U.S. House Ohio District 12,OH,10707.22340425532
P2018,H8NY24090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,62.380001,4.1399998999999985,On the Ballot,None,Advanced,6/26/18,Regular,Representative,U.S. House New York District 24,NY,2298.0666666666666
P2018,H8CA07072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.85,0.0,None,None,Lost,6/5/18,Regular,Representative,U.S. House California District 7,CA,30000.0
P2018,S8PA00320,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63.03,0.0,On the Ballot,None,Advanced,5/15/18,Regular,Senator,U.S. Senate Pennsylvania,PA,1899.1727272727273
P2018,H8NY25121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.77,14.62,None,None,Lost,6/26/18,Regular,Representative,U.S. House New York District 25,NY,1000.0
P2018,H8FL27037,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7,0.0,None,None,Lost,8/28/18,Regular,Representative,U.S. House Florida District 27,FL,333.3333333333333
P2018,H8CO07094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,0.0,On the Ballot,None,Advanced,6/26/18,Regular,Representative,U.S. House Colorado District 7,CO,200.0
P2018,H8WV01067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,White,0,38.119999,-40.41,None,None,Lost,5/8/18,Regular,Representative,U.S. House West Virginia District 1,WV,3400.0
P2018,H8TX01044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,White,0,38.959999,-48.73,None,None,Lost,3/6/18,Regular,Representative,U.S. House Texas District 1,TX,1000.0
P2018,H8TX14120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,Nonwhite,1,79.83000200000002,-22.33,On the Ballot,None,Advanced,3/6/18,Regular,Representative,U.S. House Texas District 14,TX,645.7142857142857
P2018,H2MI11133,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,0.0,None,None,Lost,8/7/18,Regular,Representative,U.S. House Michigan District 11,MI,9.0
P2018,H8NH02283,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9,0.0,None,None,Lost,9/11/18,Regular,Representative,U.S. House New Hampshire District 2,NH,1403.3333333333333
P2018,S8WV00150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.97,0.0,None,None,Lost,5/8/18,Regular,Senator,U.S. Senate West Virginia,WV,166094.25
P2018,H8PA11061,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.16,0.0,None,None,Lost,5/15/18,Regular,Representative,U.S. House Pennsylvania District 13,PA,4569.882352941177
P2018,H8OR04142,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.62,0.0,None,None,Lost,5/15/18,Regular,Representative,U.S. House Oregon District 4,OR,162.0
